News Title,Date,Source,URL,sentiment,search_query
man with gun arrest near trump rally in coachella riverside sheriff say they stop assassination attempt,2024-10-14,Press Enterprise,https://www.pressenterprise.com/2024/10/13/las-vegas-man-found-with-loaded-firearm-high-capacity-magazine-near-trump-rally-in-coachella-valley/,1,Trump
dead heat trump pull even with harris in nbc news poll,2024-10-14,NBC News,https://www.nbcnews.com/politics/2024-election/dead-heat-trump-pulls-even-harris-nbc-news-poll-rcna174201,1,Trump
cbs news trumpharris poll show one election two world how information belief shape tight campaign,2024-10-14,CBS News,https://www.cbsnews.com/news/trump-harris-poll-how-information-beliefs-shape-tight-2024-campaign/,1,Trump
economic discontent issue division add up to tight presidential contest poll,2024-10-14,"ABC News - Breaking News, Latest News and Videos",https://abcnews.go.com/Politics/economic-discontent-issue-divisions-add-tight-presidential-contest/story%3Fid%3D114723390,2,Trump
election 2024 late news harris return to nc trump visit ariz,2024-10-14,Washington Post,https://www.washingtonpost.com/elections/2024/10/13/2024-election-campaign-updates-harris-trump/,1,Trump
trump vow to hire more border patrol agent and increase pay,2024-10-14,CNN,https://www.cnn.com/2024/10/13/politics/trump-border-patrol-agents-arizona/index.html,1,Trump
man with gun arrest near trump rally in coachella sheriff say,2024-10-14,NPR,https://www.npr.org/2024/10/13/g-s1-28094/trump-rally-coachella-arrest,1,Trump
harris lose ground to trump in we presidential race poll suggest,2024-10-14,Al Jazeera,https://www.aljazeera.com/news/2024/10/14/harris-losing-ground-to-trump-in-us-presidential-race-polls-suggest,1,Trump
reader write outstate voter for harris trumps ramble,2024-10-14,Star Tribune,https://www.startribune.com/readers-write-outstate-voters-for-harris-trumps-rambling/601161807,1,Trump
trump pledge raise and 10000 more agent in border plan,2024-10-14,Axios,https://www.axios.com/2024/10/14/trump-border-agents-hire-immigration-plan-harris,1,Trump
harris suggest trump be weak and unstable in pointed challenge,2024-10-14,The New York Times,https://www.nytimes.com/2024/10/13/us/politics/harris-trump-weak-and-unstable.html,2,Trump
man arrest outside trump california rally have gun and fake passport,2024-10-14,BBC,https://www.bbc.com/news/articles/c4gqyezwj7lo,1,Trump
