News Title,Date,Source,URL,sentiment,search_query
a frustrated trump lash out behind close door over money,2024-10-13,The New York Times,https://www.nytimes.com/2024/10/12/us/politics/trump-gop-donors.html,1,Trump
harris release health report contrast trump,2024-10-13,RTHK News,https://news.rthk.hk/rthk/en/component/k2/1774256-20241013.htm%3FspTabChangeable%3D0,4,Trump
kamala harris put pressure on donald trump over medical record,2024-10-13,BBC,https://www.bbc.com/news/articles/cm28r8md15do,1,Trump
trump rally in solid blue california in unorthodox campaign move,2024-10-13,Al Jazeera,https://www.aljazeera.com/news/2024/10/12/trump-to-rally-in-solid-blue-california-in-unorthodox-campaign-move,5,Trump
harris release letter from doctor trump continue campaign swing in western we,2024-10-13,Washington Post,https://www.washingtonpost.com/elections/2024/10/12/2024-election-campaign-updates-harris-trump/,5,Trump
harris release her medical report   and use it to raise question about trump,2024-10-13,NPR,https://www.npr.org/2024/10/12/g-s1-28012/harris-releases-medical-report-drawing-another-contrast-with-trump,4,Trump
us election briefing trump visit coachella while harris pack diaper in north carolina,2024-10-13,The Guardian,https://www.theguardian.com/us-news/2024/oct/13/us-election-briefing-trump-visits-coachella-while-harris-packs-diapers-in-north-carolina,4,Trump
the apprentice star sebastian stan reveal what he rely on to play a young donald trump instinct be everything,2024-10-13,CNN,https://www.cnn.com/2024/10/12/entertainment/the-apprentice-sebastian-stan-donald-trump/index.html,4,Trump
trump say california be a paradise lose that only he can save,2024-10-13,Politico,https://www.politico.com/news/2024/10/13/trump-says-california-is-a-paradise-lost-that-only-he-can-save-00183552,1,Trump
trump heckler remove from coachella rally as expresident insult biden live,2024-10-13,The Independent,https://www.independent.co.uk/news/world/americas/us-politics/trump-rally-harris-election-live-updates-b2628255.html,1,Trump
sebastian stan on lose sleep over not resemble donald trump that scene from the apprentice and fe hard action movie tom cruise be not a normal person,2024-10-13,Variety,https://variety.com/2024/film/global/sebastian-stan-donald-trump-tom-cruise-zurich-1236176209/,1,Trump
foreign policy where do harris and trump stand,2024-10-13,Utah News Dispatch,https://utahnewsdispatch.com/2024/10/12/foreign-policy-where-do-harris-and-trump-stand/,1,Trump
trump lead in arizona as harris hold an edge in pennsylvania new poll show,2024-10-13,The New York Times,https://www.nytimes.com/2024/10/12/us/politics/times-siena-arizona-pennsylvania-polls.html,5,Trump
trump talk mma and golf in podcast push for young male voter,2024-10-13,BBC,https://www.bbc.com/news/articles/cj9j43890k7o,5,Trump
trump suggest heckler should get the hell knock out of she after rally,2024-10-13,Washington Post,https://www.washingtonpost.com/politics/2024/10/12/trump-heckler-violence/,1,Trump
trump want the fcc to take cbss license away this be a dark oman,2024-10-13,The Guardian,https://www.theguardian.com/commentisfree/2024/oct/12/trump-wants-the-fcc-to-take-cbss-license-away-this-is-a-dark-omen,1,Trump
trump hold rally in coachella as harris visit north carolina oct 12 campaign news,2024-10-13,The New York Times,https://www.nytimes.com/live/2024/10/12/us/trump-harris-election,5,Trump
trump be fascist to the core milley say in woodward book,2024-10-13,Washington Post,https://www.washingtonpost.com/nation/2024/10/12/mark-milley-donald-trump-fascist/,1,Trump
trump hit coachella campaign once again in a blue state,2024-10-13,The New York Times,https://www.nytimes.com/2024/10/12/us/politics/trump-rally-coachella-california.html,5,Trump
trumpaligne group believe to have be attack by chinese hacker,2024-10-13,Washington Post,https://www.washingtonpost.com/politics/2024/10/12/trump-aligned-group-believed-be-attacked-by-chinese-hackers/,1,Trump
sabato on how trump can get his supporter to the poll,2024-10-13,CNN,https://www.cnn.com/2024/10/12/politics/video/donald-trump-supporters-border-immigration-kamala-harris-2024-presidential-election-nr-digvid,5,Trump
trump make bluestate detour with coachella rally,2024-10-13,CNN,https://www.cnn.com/2024/10/12/politics/trump-coachella-rally/index.html,5,Trump
very unconventional political reporter react to trump late move,2024-10-13,CNN,https://www.cnn.com/2024/10/12/politics/video/trump-colorado-visit-political-reporter-reaction-digvid,1,Trump
donald trump hold a rally in california a state he s almost certain to lose,2024-10-13,AP News,https://apnews.com/article/trump-california-coachella-nevada-arizona-newsom-4557c2f98ffc179178fe5b6ec5bcf8aa,4,Trump
opinion   what trump hatred teach I,2024-10-13,The New York Times,https://www.nytimes.com/2024/10/13/opinion/trump-immigration-rhetoric-poisoning.html,5,Trump
state of the race five takeaway from the us election this week,2024-10-13,Al Jazeera,https://www.aljazeera.com/news/2024/10/13/state-of-the-race-five-takeaways-from-the-us-election-this-week,5,Trump
new york times trump make offensive remark about harris mental acuity at dinner with donor,2024-10-13,CNN,https://www.cnn.com/2024/10/12/politics/new-york-times-trump-offensive-remark-harris/index.html,1,Trump
october 12 2024 presidential campaign news,2024-10-13,CNN,https://www.cnn.com/politics/live-news/trump-harris-election-10-12-24/index.html,1,Trump
adam boulton   why the apprentice a new film about donald trump early year may harm the former president 2024 white house chance,2024-10-13,Sky News,https://news.sky.com/story/adam-boulton-why-the-apprentice-a-new-film-about-donald-trumps-early-years-may-harm-the-former-presidents-2024-white-house-chances-13231899,4,Trump
in coachella trump return to a favorite theme bash california,2024-10-13,Los Angeles Times,https://www.latimes.com/politics/story/2024-10-12/2024-election-trump-rally-coachella,5,Trump
trump medium stock soar after sudden reversal in election odd,2024-10-13,Fortune,https://fortune.com/2024/10/12/djt-stock-donald-trump-media-shares-reversal-presidential-election-odds-kamala-harris/,3,Trump
immigration where do trump and harris stand,2024-10-13,SC Daily Gazette,https://scdailygazette.com/2024/10/12/immigration-where-do-trump-and-harris-stand/,1,Trump
harris releases medical report draw contrast with trump,2024-10-13,Reuters,https://www.reuters.com/world/us/harris-release-medical-report-drawing-contrast-with-trump-2024-10-12/,4,Trump
saturday night live cold open pit donald trump against kamala harris in a game of family feud,2024-10-13,Deadline,https://deadline.com/2024/10/saturday-night-live-trump-kamala-harris-family-feud-1236114433/,4,Trump
harris in excellent health her physician say as campaign look to pressure trump to release medical record,2024-10-13,CBS News,https://www.cbsnews.com/news/kamala-harris-to-release-medical-records/,5,Trump
trump make gain as poll figure trigger anxiety for harris campaign,2024-10-13,The Guardian,https://www.theguardian.com/us-news/2024/oct/12/kamala-harris-donald-trump-polls,1,Trump
group with close tie to trump presume to have be attack by chinese hacker,2024-10-13,"ABC News - Breaking News, Latest News and Videos",https://abcnews.go.com/Politics/group-close-ties-trump-presumed-attacked-chinese-hackers/story%3Fid%3D114754083,1,Trump
doctor deem harris in excellent health her team aim to contrast with trump scant medical info,2024-10-13,AP News,https://apnews.com/article/harris-medical-records-trump-903d7c1654ca0236a4b08f9b59b4e2b8,5,Trump
trump campaign work with musk x to keep leak jd vance file off platform,2024-10-13,The Guardian,https://www.theguardian.com/us-news/2024/oct/12/x-twitter-jd-vance-leaked-file,1,Trump
dare trump harriss campaign release medical information,2024-10-13,The New York Times,https://www.nytimes.com/2024/10/12/us/politics/harris-medical-records-trump.html,1,Trump
