News Title,Date,Source,URL,sentiment,search_query
cnn offer to host live town hall with trump and harris,2024-10-11,CNN,https://www.cnn.com/2024/10/10/media/trump-harris-town-hall-debates-cnn/index.html,5,Trump
2024 election live update trump harris and obama hit campaign trail,2024-10-11,The New York Times,https://www.nytimes.com/live/2024/10/10/us/harris-trump-election,5,Trump
reader write wilderness for all age hurricanes donald trump,2024-10-11,Star Tribune,https://www.startribune.com/readers-write-wilderness-for-all-ages-hurricanes-donald-trump/601160412,5,Trump
opinion   a lost trump interview come back to life,2024-10-11,The Washington Post,https://www.washingtonpost.com/opinions/interactive/2024/bob-woodward-trump-interview-1989/,1,Trump
harris rips trump for his criticism of federal storm response and call for dignity,2024-10-11,AP News,https://apnews.com/article/trump-harris-nevada-michigan-hispanic-voters-milton-2a9db630d1318e78de91efd2df5a16f0,1,Trump
trump have keep in touch with more foreign leader than putin since leave office,2024-10-11,NBC News,https://www.nbcnews.com/politics/2024-election/trump-kept-touch-foreign-leaders-putin-leaving-office-rcna174762,5,Trump
opinion alaska can do well than donald trump,2024-10-11,Anchorage Daily News,https://www.adn.com/opinions/2024/10/10/opinion-alaska-can-do-better-than-donald-trump/,4,Trump
obama tell man to drop excuse and support kamala harris over trump,2024-10-11,The Guardian,https://www.theguardian.com/us-news/2024/oct/10/obama-kamala-harris-pennsylvania-trump,1,Trump
scoop some top house democrats will not commit to certify a trump victory,2024-10-11,Axios,https://www.axios.com/2024/10/11/house-democrats-jan-6-election-trump-raskin,1,Trump
that sure be one way to convince young man not to vote for donald trump,2024-10-11,Slate,https://slate.com/life/2024/10/donald-trump-kamala-harris-election-project-2025-ad.html,1,Trump
october 10 2024 presidential campaign news,2024-10-11,CNN,https://www.cnn.com/politics/live-news/trump-harris-election-10-10-24/index.html,1,Trump
obama make direct appeal to black man to support harris,2024-10-11,The Washington Post,https://www.washingtonpost.com/elections/2024/10/10/2024-election-campaign-updates-harris-trump/,5,Trump
trump say big company have rape our country in economic speech,2024-10-11,NBC News,https://www.nbcnews.com/politics/2024-election/trump-says-big-companies-raped-country-detroit-speech-rcna174919,1,Trump
trump say he be man of the year his source say it be not true,2024-10-11,The New York Times,https://www.nytimes.com/2024/10/10/us/politics/trump-man-of-year.html,1,Trump
trump pick a fight with detroit,2024-10-11,CNN,https://www.cnn.com/2024/10/10/politics/trump-detroit/index.html,5,Trump
trump pitch aid for michigan automaker insult detroit,2024-10-11,The Washington Post,https://www.washingtonpost.com/business/2024/10/10/trump-auto-cars-taxes/,1,Trump
election 2024 live update harris stump in phoenix follow obamas pittsburgh rally biden slam trump,2024-10-11,NBC News,https://www.nbcnews.com/politics/2024-election/live-blog/trump-harris-election-live-updates-rcna174214,1,Trump
obama call out trump attempt to sell stuff,2024-10-11,CNN,https://www.cnn.com/2024/10/10/politics/video/barack-obama-trump-sell-stuff-digvid,1,Trump
obama tell man trump do not represent real strength,2024-10-11,NBC News,https://www.nbcnews.com/politics/2024-election/obama-tells-men-trump-doesnt-represent-real-strength-rcna174283,1,Trump
an emotional obama make his harsh case yet against trump at pittsburgh rally,2024-10-11,CNN,https://www.cnn.com/2024/10/10/politics/obama-pittsburgh-trump/index.html,5,Trump
