News Title,Date,Source,URL,sentiment,search_query
cbs news trumpharris poll show one election two world how information belief shape tight campaign,2024-10-15,CBS News,https://www.cbsnews.com/news/trump-harris-poll-how-information-beliefs-shape-tight-2024-campaign/,1,Trump
dead heat trump pull even with harris in nbc news poll,2024-10-15,NBC News,https://www.nbcnews.com/politics/2024-election/dead-heat-trump-pulls-even-harris-nbc-news-poll-rcna174201,1,Trump
apprentice star omarosa manigault newman endorse kamala harris for president donald trump have be defeat before exclusive,2024-10-15,Variety,https://variety.com/2024/politics/news/omarosa-endorses-kamala-harris-trump-president-1236174613/,4,Trump
opinion   trump have become unmoored in time,2024-10-15,The New York Times,https://www.nytimes.com/2024/10/14/opinion/trump-detroit-economic-club.html,1,Trump
harris bring a bit of trump into her rally to try to show he as unhinged,2024-10-15,NPR,https://www.npr.org/2024/10/14/nx-s1-5152860/kamala-harris-donald-trump-enemy-within,4,Trump
harris trump converge on battleground state of pennsylvania,2024-10-15,The Washington Post,https://www.washingtonpost.com/elections/2024/10/14/2024-election-campaign-updates-harris-trump/,5,Trump
live update donald trump kamala harris election news   cnn politic,2024-10-15,CNN,https://www.cnn.com/politics/live-news/trump-harris-election-10-14-24/index.html,1,Trump
us election 2024 update trump and harris campaign in crucial swing state pennsylvania,2024-10-15,BBC,https://www.bbc.com/news/live/c748y2k1lyet,4,Trump
trump lash out at fox news harris ahead of duel appearance on network,2024-10-15,Axios,https://www.axios.com/2024/10/15/trump-fox-news-harris-interview,1,Trump
trump town hall interrupt by medical emergency in the crowd,2024-10-15,"ABC News - Breaking News, Latest News and Videos",https://abcnews.go.com/Politics/trump-town-hall-derailed-after-medical-emergencies-crowd/story%3Fid%3D114796716,1,Trump
harris slam trump in pennsylvania as we election race heat up,2024-10-15,Al Jazeera,https://www.aljazeera.com/news/2024/10/15/harris-slams-trump-in-pennsylvania-as-us-election-race-heats-up,4,Trump
harris and trump campaign in pennsylvania election live update,2024-10-15,The New York Times,https://www.nytimes.com/live/2024/10/14/us/harris-trump-election,4,Trump
election 2024 live update harris and trump campaign in pennsylvania walz stump in wisconsin,2024-10-15,NBC News,https://www.nbcnews.com/politics/2024-election/live-blog/harris-trump-presidential-election-live-updates-rcna175177,1,Trump
opinion   hey dem stop doomscrolle and go win the election,2024-10-15,The Washington Post,https://www.washingtonpost.com/opinions/2024/10/14/democrats-trump-harris-election-fears/,1,Trump
harris use trump enemy from within comment to portray gop rival as dangerous and unstable,2024-10-15,CNN,https://www.cnn.com/2024/10/14/politics/kamala-harris-donald-trump-democracy/index.html,1,Trump
trump aide corey lewandowski put in a box by trump and order to narrow focus to new hampshire,2024-10-15,CBS News,https://www.cbsnews.com/news/trump-corey-lewandowski-new-hampshire/,1,Trump
would donald trump taxis on trade hurt we consumer,2024-10-15,BBC,https://www.bbc.com/news/articles/c20myx1erl6o,1,Trump
harris call trump increasingly unstable and unhinge during pennsylvania rally,2024-10-15,"ABC News - Breaking News, Latest News and Videos",https://abcnews.go.com/Politics/harris-calls-trump-increasingly-unstable-unhinged-erie-pennsylvania/story%3Fid%3D114795103,1,Trump
more than 230 doctor and health care provider call on trump to release medical record,2024-10-15,CBS News,https://www.cbsnews.com/news/trump-health-records-doctors-for-harris/,1,Trump
opinion   the one thing jd vance have be right about so far,2024-10-15,The Washington Post,https://www.washingtonpost.com/opinions/2024/10/14/vance-trump-attorney-general-justice-garland/,5,Trump
election update kamala harris donald trump zero in on pennsylvania campaign stop,2024-10-15,USA Today,https://www.usatoday.com/story/news/politics/elections/2024/10/14/election-2024-campaign-news-live-updates/75661967007/,1,Trump
trump pennsylvania town hall turn into impromptu concert after medical incident,2024-10-15,AP News,https://apnews.com/article/donald-trump-town-hall-concern-dancing-24290775c8e11223fde1d440a7a5cf7c,1,Trump
harris use trump own word to attack he as unhinge roll the clip,2024-10-15,The New York Times,https://www.nytimes.com/2024/10/14/us/politics/harris-trump-enemy-within.html,1,Trump
