Username,Comment,date,Ticker,sentiment
DRClark,a lot of bear have way to much time on there hand here,2024-10-14,DJT,3
Trekki,we need a strong nato to prevent world war 3 trump want a weak nato because that s what putin want harris for,2024-10-14,DJT,1
Trekki,speaker johnson be plan to not allow kamala harris win to be certify guess what president biden will do harris will win bigtime shell be our next president,2024-10-14,DJT,1
byecell,any comment tim I m sure cbs will check it out,2024-10-14,DJT,1
TheQuantumMechanic,101424 spoooky premarket outlook measurement 1 with session candle stick lowhigh amplitude potential note weekend update final,2024-10-14,DJT,3
Bullheahed,you bear be on here blow it up show you all scared shtless and the bull been watch the game and go to bed with my account show this stock up over 2 pre,2024-10-14,DJT,1
starbreaker,who s go to replace walz,2024-10-14,DJT,5
StockMan112909,I wonder how high this will be once we get close to election,2024-10-14,DJT,3
Trekki,trump mind be slowly deteriorate that be why he will not face harris in another debate he s scared hannibal hecter tell he,2024-10-14,DJT,1
starbreaker,nobodys buy that nonsense he s do dozen of rally appearance speak engagement town hall and interview in just the past 2 week,2024-10-14,DJT,1
Devastator311,good fuck the south leach secede and become a 4th world nation,2024-10-14,DJT,4
uyenng25_,look pretty dead to I very weak action still in a very deep downtrend no setup here avoid as there be so many well opportunity need much more time to base out,2024-10-14,DJT,2
bigtex66,who do you guy think win the election harris or trump,2024-10-14,DJT,1
Trekki,trump be slur word at his rally dementia be slowly increase,2024-10-14,DJT,1
FredoDog,with ukraine as a dowry putin allow trump to run in 2024,2024-10-14,DJT,1
Trekki,even fox news sometimes cut off trump with his violent rhetoric trump hate violence fox news agree,2024-10-14,DJT,1
S_Franconi,sign tout auto worker for trump at michigan rally find to be fake report,2024-10-14,DJT,1
FredoDog,be it meth again tonight or a syphilis flareup,2024-10-14,DJT,3
S_Franconi,neil armstrong first man to walk on the moon july 21 1969 donald lie be more outrageously moronic each day,2024-10-14,DJT,1
sborovay07,the third time be not their charm run out of option as kamel expose her stupidity case against the president evaporate and americans wake up to the evil of diddy and the white rabbit of the elite,2024-10-14,DJT,1
S_Franconi,us border agent habitually abuse human right report reveal this article be more than 1 year old report show lack of accountability for misuse of lethal force intimidation sexual harassment and falsify document,2024-10-14,DJT,1
PadraigDubh,trump know word,2024-10-14,DJT,5
forgottenchuck,even newsweek,2024-10-14,DJT,5
Trekki,poll be lie harris have a very large support from black americans kamala harris will win by a landslide,2024-10-14,DJT,1
Autumn34,what s your source she can not even do a serious interview,2024-10-14,DJT,1
FredoDog,a maga sissy block humblewarrior run and cry after having neuter herself for trump she s even brag about it,2024-10-14,DJT,1
NickyLikesTurtles,let see short cover I smell gamma squeeze this week,2024-10-14,DJT,1
Trekki,can any magas here tell I why trump be a chicken he can not walk the talk an so he hide from vice president kamala,2024-10-14,DJT,1
sKamalaRCX2017,people wake up,2024-10-14,DJT,1
sKamalaRCX2017,robert deweirdo be scared,2024-10-14,DJT,3
Trekki,convict trump be lose his mind he see hannibal lecter attack he press the nuclear button and send it to china world war 3 start from a guy who get fementia,2024-10-14,DJT,1
S_Franconi,ice release we citizen 18 wrongfully detain near border,2024-10-14,DJT,1
S_Franconi,judge find cbp falsely imprison we sibling at border,2024-10-14,DJT,1
GorillaTicTacs,you still push that bs from the know fake news mill same mill that produce the laughable affidavit,2024-10-14,DJT,1
S_Franconi,ice have release this dallasborn us citizen detain for more than three week,2024-10-14,DJT,1
ScoreKeeper_,everybody speak on this guy now,2024-10-14,DJT,5
S_Franconi,washington man illegally detain by border patrol at spokane greyhound bus station sue the agency for damage,2024-10-14,DJT,1
GorillaTicTacs,sothe thing trump do and the thing biden do the opposite trump print money and spend like a drunk sailorand kill income biden deficit spending be much reduce and the printing be greatly contract soyeahthat literally what happen,2024-10-14,DJT,1
S_Franconi,gerardo vazquezmentado an oswego county resident store owner and naturalize we citizen sue the federal government after he be wrongfully arrest and detain by border patrol agent,2024-10-14,DJT,1
S_Franconi,cbp falsely imprison 9yearold we citizen during 34hour interrogation san diego judge,2024-10-14,DJT,1
HumbleWarrior,feel great block 10 libturd here,2024-10-14,DJT,5
S_Franconi,border patrol officer falsely imprison 9yearold us citizen judge rule,2024-10-14,DJT,1
S_Franconi,a new report detail border patrol cruel and unnecessary confiscation and destruction of migrant belonging include medicine legal document and religious object,2024-10-14,DJT,1
JAHBULON,stock market open on federal holiday must be the mandella effect,2024-10-14,DJT,5
S_Franconi,the devil behind the badge the horrifying twelve day of the border patrol serial killer,2024-10-14,DJT,1
S_Franconi,former custom and border patrol agent find guilty of federal civil right and kidnap charge for sexually assault and abduct minor victim,2024-10-14,DJT,1
VikeInvests,be these fake too,2024-10-14,DJT,1
Trekki,why convict trump be a chicken why be he afraid to face vice president kamala harris if it walk like a duck quack like a duck it must be a duck trump be scared of harris chicken,2024-10-14,DJT,1
JAHBULON,stage any fool can see that now madmaxworldtvwatchid670,2024-10-14,DJT,5
VikeInvests,trump leave his supporter at the rally and somehow its everyone else s fault who organize this circus organize be probably the wrong word he s do this at his rally before be they all conspiracy,2024-10-14,DJT,1
Wuptich,there be no share to short which be necessary and there be too few sale,2024-10-14,DJT,1
sborovay07,as the appeal court in ny be about to drop the case go back to the corrupt judge ask why accounting charge be bring up to a felony along with most of the 34 charge have be dismiss in ga as fanny have be expose and smith grasp at straw to renew his deep state case against trump hater be run out of fallback and soon will be expose along with their emperor who have no clothe finally the 3rd attempt president trump fail and as time run out their option to deal the final blow to the republic be run thin,2024-10-14,DJT,1
swingprotrades,for the scum libtard,2024-10-14,DJT,4
JAHBULON,then you go to ukraine and fight,2024-10-14,DJT,5
Trekki,there be no way americans will elect a person with dementia to run usa,2024-10-14,DJT,1
Dieselpro,waltz just get expose for rape a fourteen year old student back in 1995 its unfold now on twitter this be the first post in a long thread harris campaign be finish,2024-10-14,DJT,5
Pattern_Spotter,utterly baffle how two people could screw up so much in so little time a traitor and a bimbo sell out and screw the entire country time to take out the trash,2024-10-14,DJT,1
sKamalaRCX2017,47,2024-10-14,DJT,3
Pipinstallwin,quick dip at open tomorrow before any further run up go to retest maybe only either way will probably be short dip,2024-10-14,DJT,3
Trekki,vice president kamala harris for president,2024-10-14,DJT,4
GorillaTicTacs,well we know what s up with the bus now trump be apparently tired of people walk out of his rally,2024-10-14,DJT,3
