Username,Comment,date,sentiment,Ticker
Uncagedpages,have the next round of dilution start,2024-10-08,2,DJT
Wuptich,lfg open 20 usd bullish,2024-10-08,1,DJT
TheQuantumMechanic,100824 spoooky premarket outlook measurement 1 with session candle stick lowhigh amplitude potential note wavefunction calibration interface graphic and nomenclature update,2024-10-08,3,DJT
dhood3,lfg bullish,2024-10-08,1,DJT
bb06wr,illegal immigrant january 20 2025 bullish,2024-10-08,1,DJT
TDawg2FO,bullish,2024-10-08,1,DJT
vinhvu1993,oh my god rocket rocket bullish,2024-10-08,1,DJT
MrGarfield,I think report of daily activity should be make public for kamala harris she be pay vp salary and do not do shit first 2 year on office then be spend time to prepare herself to run post one thing she do as vp nothing,2024-10-08,1,DJT
xoz,ready for the new level of cringe bullish,2024-10-08,5,DJT
Wuptich,last day under bullish,2024-10-08,1,DJT
dhood3,I applaud cbs for ask semi serious question bullish,2024-10-08,1,DJT
Not_A_Trumper,head to after election bearish,2024-10-08,1,DJT
IOWNYOU4LIFE,who keep buy this traitor stock trump be trash bearish,2024-10-08,1,DJT
xoz,bullish,2024-10-08,1,DJT
USAisBetterthanMaga,this guy have blood all over his hand,2024-10-08,1,DJT
xoz,hopefully everyone watch the 60 minute interview cbs be it a mistake to open the border and flood america with illegal alien kamala solution be at hand and we have be offer solution since day one one of kamalabiden solution to the border invasion they create be skip the border alltogether fly in illegal alien directly from the 3rd world dailymailcouknewsarticl bullish,2024-10-08,1,DJT
dhood3,bullish,2024-10-08,1,DJT
Chino310,I can not wait for her next interview bullish,2024-10-08,1,DJT
shadowpawn,love it not that I need another reason to vote kamala but damn this be a good one,2024-10-08,5,DJT
Donald_Dwac,dear market grant I the wisdom to stop short the patience to watch the bull charge and the courage to admit I be wrong again may my loss be small my lesson big and my margin call silent let green be my guide not my enemy amen bullish,2024-10-08,5,DJT
USAisBetterthanMaga,maga conspiracy theorist think global warming be a hoax smh regardless of your political affiliation if you or your loved one be in fl I pray you all successfully weather this monster of a storm,2024-10-08,1,DJT
xoz,we need illegal alien for slave labor liberal bullish,2024-10-08,1,DJT
AndrewCar,bullish,2024-10-08,1,DJT
Occidoviper,we come back young maga for the win trump 2024 and beyond bullish,2024-10-08,1,DJT
charlottecorday,communist boy own it,2024-10-08,5,DJT
Eireternal,supreme court reject trump and elon filing to stop jack smith from obtain his tweet why be he try to hide his tweet what happen to free speech warrior,2024-10-08,1,DJT
Mavrick1985,buy the fear bullish,2024-10-08,1,DJT
Wuptich,1968 now 2086 usd and boom pt 2550 usd 5080 possible moas 150 usd bullish,2024-10-08,1,DJT
Not_A_Trumper,overconfident much crazy boi bearish,2024-10-08,1,DJT
dhood3,every time kamala do a interview the stock go up my prediction be post howard stern interview we will reach bullish,2024-10-08,1,DJT
hongkingkong,libtard when trump win in november bullish,2024-10-08,1,DJT
Chief_Beachbum,the anti abortion people claim they just want to move the decision from something big federal to something small state why not move the decision to somewhere even small like to the woman her doctor trust woman,2024-10-08,1,DJT
Lb23hu321,these maga hater be so dumb I m not even surprised anymore at the stupid shit they say or believe its quite sad bullish,2024-10-08,1,DJT
Mavrick1985,it will soon be,2024-10-08,4,DJT
Mavrick1985,bullish,2024-10-08,1,DJT
Wuptich,lfg back to 5080 usd pt 7090 usd bullish,2024-10-08,1,DJT
thefourwind,mr secretary lecter putin have voluntarily withdraw from ukraine and israelis and palestinians be exchange hug and gift in the street it seem no one want to get eat today,2024-10-08,1,DJT
Stonksman24,do not bet against maga ever bullish,2024-10-08,1,DJT
ShibainuAso,where da fkin bear,2024-10-08,1,DJT
Wuptich,bullish,2024-10-08,1,DJT
ycbig176,donald trump say he wish he could make hannibal lecter secretary of state to scare of the world leader by say I would like to have you over for dinner wtf I think he s purposely try to tell everyone he s crazy as shit and should not be elect they definitely will not vote for I if I say this oh but maybe they will in my donald trump voice lol bearish,2024-10-08,1,DJT
Chino310,boom bullish,2024-10-08,1,DJT
