Username,Comment,date,Ticker,sentiment
gilmeriken,use this logic with this fact mike pence be vice president harris 2024 bearish,2024-10-11,DJT,5
NNJAWINLIVE,bullish,2024-10-11,DJT,1
CChartist,of all the thing that will never happen this will happen the least,2024-10-11,DJT,1
Str18BALTStr,in the filing last week prosecutor paint a scathing portrait of trump action after his 2020 election loss to president joe biden present score of witness and a handful of coconspirator with whom it allege trump launch a series of increasingly desperate plan to overturn the legitimate election result in seven state that he have lose maga traitor proud,2024-10-11,DJT,1
arrow6946,trump be currently lead in arizona georgia north carolina michigan and pennsylvania in realclear politic average and he be gain ground in wisconsin and nevada look like this be go back to 100 soon bullish,2024-10-11,DJT,1
TDawg2FO,bullish,2024-10-11,DJT,1
rehctaWkarD,the light of freedom will not go deem by the dem bullish,2024-10-11,DJT,1
Fragernockling,do you know it can take 25 year for presidential decision to show the effect on the economy also the president do not really do much in term of the economy its the legislature ironically democrats control the house and senate for a while under obama after he leave office the effect of the democrat lead congress and democrat president have great impact that trump claim be his because he be the president yes everything be well when he be hold and lie but it be all obama our great president trump effect go after biden be in officeworst president ever economy be still slow but it be recover thank to biden do not put the dumbass back in and screw it up beyond the point of no return he will ruin america more than he already have brainwash his idiocracy,2024-10-11,DJT,1
Str18BALTStr,one of the most prevalent falsehood spread by trump be the claim that the federal emergency management agency or fema have use some disasterrelief fund to help migrant though the emergency agency and migrantrelief program be both part of the department of homeland security their fund be in separate account and money earmark for aid to migrant can not be transfer to cover hurricane cost djt weird bearish,2024-10-11,DJT,1
Spark89,probably this be the last chance to tsla to be up I would add to my and sell tesla until election,2024-10-11,DJT,1
TheQuantumMechanic,101124 spoooky premarket outlook measurement 1 with session candle stick lowhigh amplitude potential note null test of wavefunction probability calibration and graphic opulence revisefinal opulence revise,2024-10-11,DJT,1
Mirsmch,trump be kick kamalas ass,2024-10-11,DJT,5
GHECKO,go to fuck 2250 tomorrow,2024-10-11,DJT,1
Mirsmch,elon musk about to open a truth social account,2024-10-11,DJT,1
Str18BALTStr,as donald trump and his ally spread false claim about hurricane helene and milton the republican party have split into two camp those who try to dispel the falsehood and those who be double down on they maga weird dangerous bearish,2024-10-11,DJT,1
Metal_Health,t25 bullish,2024-10-11,DJT,5
Trader9955,if you look at this and seriously say to yourself harris be the well candidate your dumb than a bag of rock bullish,2024-10-11,DJT,1
DieRich09,trump 2024 bullish,2024-10-11,DJT,1
TheQuantumMechanic,101124 spoooky premarket outlook measurement 1 with session candle stick lowhigh amplitude potential note null test of wavefunction probability calibration and graphic opulence revise,2024-10-11,DJT,1
dyker,hedging be the practice of protect against risk and actively become risk neutral in a specific direction I would suggest bear start think logically about this for a sec bullish,2024-10-11,DJT,3
brief1066,and just like that nobody post stupid overnight screen shot lol,2024-10-11,DJT,1
Capitalism_not_socialism,wow the persecutor go after trump in ny get their ass ream with simple questioning by the appeal court persecutor be beg to not get sanction by the end this be just question too preliminary hearing and the case be implode bullish,2024-10-11,DJT,1
PatsOfButter,those who keep post polymarket there be still give odd on hillary clinton michelle obama and nikki haley win great source of information,2024-10-11,DJT,5
Yieldmaxdefiantthereal1,projectsfivethirtyeightco,2024-10-11,DJT,4
PatsOfButter,suck it maga,2024-10-11,DJT,1
Yieldmaxdefiantthereal1,trump be senile with dementia perfect magat,2024-10-11,DJT,5
Honest_Abe,internal poll from trump train,2024-10-11,DJT,1
FredoDog,no bj vance will win hell be president within 2 year,2024-10-11,DJT,1
jspaggy,no plan no platform no policy pure corruption what s not to love,2024-10-11,DJT,1
FredoDog,now we know you re just play stupid,2024-10-11,DJT,1
Starlinks,trump be bright star for usa trump can only save usa from debts bullish,2024-10-11,DJT,1
GHECKO,guy,2024-10-11,DJT,3
rogercrane,trump will win end of the story for democrats lol bullish,2024-10-11,DJT,5
CoIumbo,communist democrats very angry the ballot will be hand count to make sure it be the same as the voting machine count democrats sue over this why would such a voting safety feature make democrats mad bullish,2024-10-11,DJT,1
Fastruns17,seed cloud you people be hilarious what s next do the government do something with the sun too bearish,2024-10-11,DJT,1
Trader9955,oh how thing change everyone know that trump will win trump2024 bullish,2024-10-11,DJT,1
rogercrane,drinking will not bring you any extra vote bullish,2024-10-11,DJT,1
USAisBetterthanMaga,caption please,2024-10-11,DJT,1
Max22,bullish,2024-10-11,DJT,1
Trader9955,someone lose badly on there short position who else would sit on here at night yap like a clown hahaha bullish,2024-10-11,DJT,1
rogercrane,just tell I why bullish,2024-10-11,DJT,1
TheQuantumMechanic,101124 spoooky premarket outlook measurement 5 with session candle stick lowhigh amplitude potential note null test of wavefunction calibration and probability,2024-10-11,DJT,1
TurnUpVolume,what be go on at my aunt birthday party and my whole family who pretty much all vote blue every election just basically say they be vote for trump its the same story at my job too and I live in a blue state and now this stock be go up thing be changingwhat happen,2024-10-11,DJT,1
kamalathegreatborderCzar,27 chance of sweep just 10 day ago now 39 librard sweep down to 18,2024-10-11,DJT,1
FredoDog,you think everyone should have carpoole that would have make a difference remember that almost all identify voter fraud have be republican,2024-10-11,DJT,1
Stocktrader1234,trump complain about every anything that be not go his way I wonder if he use a baby pacifier when he s not on tv everyone know he be loose many just can not admit it who can be the big brat,2024-10-11,DJT,1
Not_A_Trumper,more like beware of dumb trump scam and cult bearish,2024-10-11,DJT,1
langster11,trump will win he represent the stupid people and unfortunately there be more stupid than the intelligent one out there,2024-10-11,DJT,1
uyenng25_,perfect avg off the 162 backt very strong,2024-10-11,DJT,5
