Username,Comment,date,sentiment,Ticker
KimJongTrumpov,just like this rally right bearish,2024-10-05,5,DJT
KimJongTrumpov,maga I get jd vance to fill up my sperm cup this be the 4th one to add to my collection but I m not weird I just really like jd vance sperm bearish,2024-10-05,3,DJT
GuyC22,butler pa people I m line since yesterday afternoon they be estimate there will be 100000 people the poll be way off trump in a landslide victory bullish,2024-10-05,1,DJT
AndrewCar,bullish,2024-10-05,1,DJT
Starvedout,trump hang with people like the diddy gang banger maga supporter be all molest each other I m see in this world,2024-10-05,5,DJT
loboxr2d2,bearish,2024-10-05,4,DJT
Max22,no limit to the crazyness bullish,2024-10-05,1,DJT
KimJongTrumpov,maga weirdo be obsess with tampon and they bring jd vance sperm cup to rally so and vance can fill they up for they and they say they be not weird bearish,2024-10-05,3,DJT
water168,what s the realistic pt if trump win and if trump lose thank you,2024-10-05,5,DJT
sifter,what s up with this,2024-10-05,5,DJT
GorillaTicTacs,that s not what happen there musk just try to bulldoze his way in to a disaster area without alert the other traffic in the area he need to coordinate which easily could have be do privately and would have be a routine matter instead he make a public ass of himself on his platform because he apparently do not know how the world work or he do and just want to be a crybaby for his follower,2024-10-05,2,DJT
KimJongTrumpov,that s a huge crowd you could not fit another person in there its so full lmfao bearish,2024-10-05,1,DJT
Max22,the council of europe parliamentary assembly have vote to confirm that julian assange be hold as a political prisoner bullish,2024-10-05,1,DJT
KimJongTrumpov,bearish,2024-10-05,4,DJT
KimJongTrumpov,you sound like a person who be in denial there be cult member service out there to help you leave a cult and become a member of society again bearish,2024-10-05,1,DJT
Max22,general flynn post julian assange expose the cia bullish,2024-10-05,1,DJT
Tuck_Frump,arsov be look to dump a lot more bearish,2024-10-05,1,DJT
MissingTwentyF,democrats control congress senate and wh do nothing and now blame republican for everything,2024-10-05,1,DJT
KimJongTrumpov,I m pretty sure vance lose the debate when he say clean water will solve global warming bearish,2024-10-05,3,DJT
Gemineye,no,2024-10-05,1,DJT
Tuck_Frump,welp all that antiwoke message screw your investor bearish,2024-10-05,1,DJT
Tony141677,at least he finally speak some truth vance shake he up pretty bad,2024-10-05,2,DJT
SaLuSa_of_SIRIUS,musk have to step in again only after booty be humilitiated on x for his incompetence do he reach out,2024-10-05,2,DJT
Dead_Cooch,bearish,2024-10-05,4,DJT
irishStocks,bear all panic about trump return to butler with elon musk by his side oh baby what s that I smell its a toasted bear bullish,2024-10-05,1,DJT
AJiNoMo2,under the guise of a politician with a fake tan bad hair cut be an angry man an arrogant man a dark and dangerous man watch his mouth move sideways like piranha mouth when he be speak to the magat the lie misogyny apocalyptic language fearmongering and the enthusiastic embrace of conspiracy theory,2024-10-05,1,DJT
Tuck_Frump,bearish,2024-10-05,4,DJT
Cbdcba,this guy value his 2nd amendment right over the life of child in school that sum up maga gop form you bearish,2024-10-05,5,DJT
Gemineye,this be exactly how pathetic tim walz be,2024-10-05,1,DJT
channelsurfer,cnns nervous bullish,2024-10-05,1,DJT
xoz,luckily truthsocial be free speech or that account would be ban for misinformation bullish,2024-10-05,1,DJT
AJiNoMo2,the reincarnation of sam fifenka donald trump then in 2015 as I watch donald trump float down the trump tower escalator to announce his candidacy for the us presidency I feel a stab of recognition under the guise of a politician with a fake tan and bad haircut be an angry man an arrogant man a dark and dangerous man a man so like sam fife that I immediately know I be face the same threat I have face as a young woman all those year ago chartier detail the slow pull her family feel toward the apocalyptic cult she argue shared quality with trump and the christian nationalists hope to reinstate the former president in the white house in 2025 after he win the election I see more and more fife whenever trump open his mouth chartier write the lie misogyny apocalyptic language fearmongering and the enthusiastic embrace of conspiracy theory all set off ancient alarm inside of I,2024-10-05,1,DJT
Wrangler4,can we play this one more time samlauren just walk in not trump although he say he be there hahahahahahe be also go to do a 60 minute interview and renegade after play the clip back of he with jane pauley and his national health plan 9 year later he still do not have one to present hahahaha,2024-10-05,1,DJT
Wrangler4,for the simple maga mind that need some support of truth write about their liar trump hahahah,2024-10-05,3,DJT
Wrangler4,play it again sam read it listen and weep hahah,2024-10-05,5,DJT
Wrangler4,we have a trump deni lol defend the liar look for a link how about a national link on musk x medium hahahaha,2024-10-05,1,DJT
Chief_Beachbum,I smell desperation,2024-10-05,1,DJT
Cbdcba,criminal always enjoy return to the site of their crime bearish,2024-10-05,5,DJT
Cbdcba,so sad gop maga care more about the 2nd amendment than women right and school children live why so anti abortion if you re go to let they get slaughter later in life anyway bearish,2024-10-05,1,DJT
betterinvestin,everyone who tolerate and participate in trump crime deserve to go to jail for each and every crime they ve commit they could be jail bearish,2024-10-05,1,DJT
Wrangler4,play it again sam for the illiterate of the maga party hahahaha,2024-10-05,5,DJT
Wrangler4,now they question factsthis be broadcast on cnn with a gop lt governor and he go mumhe have to trump lie in his visit to helene destruction read it and weep maga a hole,2024-10-05,1,DJT
TrumpISaTurdSandwich,republicans sabotage everything and then spin it around and accuse democrat for the damage republicans cause piece of crap bearish,2024-10-05,1,DJT
gooddoggie,pop quiz when donnie speak these phrase be he describe immigrant or kamala 1 mentally defective 2 ruin california 3 eat cat you win if you say he use they for both,2024-10-05,1,DJT
AJiNoMo2,old age magat stop don ate to your cult scammer stab of recognition cult escapee daughter warn trump come for american believer cyd chartier feel a stab of pain when she watch thenpresidential hopeful donald trump glide down his golden escalator in 2015 it be then she know her family be about to be suck into yet another cult chartier in a huffington post essay publish friday draw a disturbing parallel between the republican presidential nominee and sam fife founder of the move of god cult who she say take her parent from she and their life saving from they I know something ominous have creep into our life and I have no idea how to make it stop chartier write of the first time she hear fife voice in 1974,2024-10-05,1,DJT
BrandonFrasier,s lie vs reality,2024-10-05,1,DJT
Wrangler4,on top of his lie to keep immigrant out lol he do this classy huh a true degenerate,2024-10-05,1,DJT
xoz,all the fema money be waste on illegal so if they know that be happen they make the right choice increase funding to fema increase funding to kamala bidens border invasion bullish,2024-10-05,1,DJT
Obsessed23,200 billion to ukraine 750 buck per household to the hurricane survivor if they qualify,2024-10-05,1,DJT
Wrangler4,the liar hit again 750 m he steal from the pentagon to build the mexican nonfinanced wallthen he do this under his first term more govt money to immigrant and they still come in hahaha,2024-10-05,1,DJT
Bigjagoffffffff,any russian bot on here,2024-10-05,1,DJT
TrumpISaTurdSandwich,do not you maga hate it when thing just keep go well under democrat policy instead of be happy for our country you ll try your hard to put a negative spin on it we know bearish,2024-10-05,1,DJT
ExpectTheUnexpectedNow,the government would never lie to you,2024-10-05,1,DJT
Etrading,remove the goverment add job from late report we at 45 so private sector already in recession not strong economy that why I be say cook rig coming and stock market and medium take it as naive all about election what a scam,2024-10-05,1,DJT
AJiNoMo2,here be the s2pyd pretender opinion trump lose the respect of veteran include I he s a risk to our democracy,2024-10-05,1,DJT
Honest_Abe,do anyone think the 800000 downward revision be past job report be weird how can we trust job report like yesterday what if yesterday be actually a loss of 200000 job but they say we can not have that before an election so they pull 450000 job from the past report to today report to make it look like a positive 250000 increase in job when actually we be in a bad recession right now this would explain the feds aggressive 050 rate cut that do not make sense,2024-10-05,1,DJT
AJiNoMo2,big fat age liar of all time in american politic trump smack down by wall street ceo minute after brag about his endorsement,2024-10-05,1,DJT
JenniFUR2,the kamala harris administration be great at take care of a illegal immigrant rapist and murdere with housing food clothe spend money while tax pay americans down in the south east struggle to get water and a toilet from the very same government,2024-10-05,4,DJT
HuskyNutBuster,good morning bearish,2024-10-05,5,DJT
AnalyticalOne,trump say he want to part in january 6th rioter who attempt to overthrow the government base on the rest of what kamala say maybe she will be a good leader I m pull a full democratic lever for the first time in my life bearish,2024-10-05,1,DJT
