Username,Comment,date,Ticker,sentiment
happyhouractual,yes as oppose to harris cacklecackle zero substance fake response yep vote red,2024-10-13,DJT,1
Chief_Beachbum,crime be up criminal run around everywhere some with as many as 34 felony conviction,2024-10-13,DJT,1
DeadcowX,donald trump disastrous coachella speech which he pretend have 100000 people when it be less than 110 of that and people be pass out and get sick before the speech even start ,2024-10-13,DJT,1
happyhouractual,look at the scared troll afraid of trump momentum smart people see right thru the libtard vapor,2024-10-13,DJT,1
happyhouractual,harris kabuki theater of vaporvote red,2024-10-13,DJT,5
Eireternal,trump just lose battleground state michigan,2024-10-13,DJT,1
RenDragon,trump be fascist to the core retire us general milley say in woodward book stuffconzworldnews3504,2024-10-13,DJT,1
xoz,1 out of every 5 hotel in ny be a taxpayer fund shelter for kamalabiden illegal alien ,2024-10-13,DJT,1
xoz,kamalabiden taxpayer fund 5 star vacation for illegal end november 5th ,2024-10-13,DJT,1
csp74,lol,2024-10-13,DJT,3
xoz,trump california ,2024-10-13,DJT,5
Enki3000,you brain dead what will will you do when this fat pig baloney smell pink motherfucker die you snowflake can not do nothing without daddy,2024-10-13,DJT,1
sKamalaRCX2017,the king of call everyone else weird be in fact very weird,2024-10-13,DJT,1
Detroit201,thank mr president to stop in coachella let turn california red and make it great again ,2024-10-13,DJT,5
Detroit201,really obama and you be support malala after these horrendous 4 year let everyone to come to america most people be decent and look for a well future but malala be let criminal to get into america never forget your own word in 2005 ,2024-10-13,DJT,1
Honest_Abe,you can solve all your problem by become rich anyone who disagree have no real money to throw around,2024-10-13,DJT,5
SteveStreet,how can you be an alpha male and vote for a guy that wear makeup ,2024-10-13,DJT,1
Not_A_Trumper,dummy like trump ,2024-10-13,DJT,1
Detroit201,horrible ,2024-10-13,DJT,1
Anthonybarnes4,14 million share short must go to bed scare every night know that the next gap up be just around the corner while they continue to pay 20 interest just to hold short how do you plan on cover 14 million share when we average 500k share a day that s 28 day to cover good luck long ,2024-10-13,DJT,1
Anthonybarnes4,who do not know the entire tradeable float of 14 million share be all currently short well play short now let see how long you can continue to pay 20 in brokerage interest ,2024-10-13,DJT,1
Anthonybarnes4,oh yea I totally forgotour future vice president jd vance file that he own in rum ,2024-10-13,DJT,1
AJiNoMo2,age and dyingwannabe dictatorfake tan and trumpled face,2024-10-13,DJT,1
Anthonybarnes4,oh waiti forget 2 lawsuit north of billion each against google set for 2025 rum will be nice and settle for million for each lawsuit for a cool billion in cash please ,2024-10-13,DJT,1
Anthonybarnes4,the people have finally wake up sorry short look like you be toast ,2024-10-13,DJT,1
Anthonybarnes4,short will continue to deny that big thing be not happen at rum just to save their massive short position 14 million share or 50 short float give that insider own 60 of the share and yet rum continue to execute million in cash and no debt not to mention that they continue to land big name partner like hard rock and miami dolphin gap fill come soon that you think ,2024-10-13,DJT,1
Mirsmch,obama be vote for trump,2024-10-13,DJT,1
Mirsmch,black man for trump ,2024-10-13,DJT,5
jrocket87,trump out or magat be next to fill the city as homeless ,2024-10-13,DJT,1
Spire427,glad she be so smart let we be unburden by what have beenstraight up marxist,2024-10-13,DJT,5
Pattern_Spotter,icu ,2024-10-13,DJT,5
Detroit201,glad she be clear ,2024-10-13,DJT,5
Detroit201,obama screw it oh boy trump 2024 ,2024-10-13,DJT,1
PatsOfButter,why be trump hiding remember when this happen with biden,2024-10-13,DJT,1
byers07,lol that be a ploy he be donate to the dem and even say he be do so he could vote for another candidate in the primary,2024-10-13,DJT,1
Billybobjohnes,this be a no brainerelon be funnel money through heredont fight the tape,2024-10-13,DJT,1
ScoreKeeper_,who you guy have as the good,2024-10-13,DJT,5
sKamalaRCX2017,remember when the mccain chris christies and cheney be the opposition and party of war and billionaire donor I do,2024-10-13,DJT,5
Detroit201,please malala tell we what you have do for our black community none tell we where have you be in 4 year why obama disrespect all americans by call our black friend like child to vote for malala that be horrible and very disappointing mr obama you call all americans and not only a specific race black for trump ,2024-10-13,DJT,1
dhood3,for meghan because lib be nutty than from a squirrel ,2024-10-13,DJT,4
stocklyfe87,eerily quite today ,2024-10-13,DJT,5
PeterLynch_IsBack,wah wah wah this you in november ,2024-10-13,DJT,5
Lone____Wolf,you know trumptard be gambler when the chart here look the same as the polymart chart and be just follow the election odd lmao make sense when this company make 0 fuck revenue and have a dead app that only cultist will use gl ,2024-10-13,DJT,1
NineLinesCat,young americans unite,2024-10-13,DJT,5
PeterLynch_IsBack,libfart mad no more joy ,2024-10-13,DJT,1
NineLinesCat,reality check,2024-10-13,DJT,5
NineLinesCat,oops catch again,2024-10-13,DJT,1
dhood3,obama blame black man but the nyt poll show black voter overall have leave the democratic party under the biden harris administration this would include black woman this be the democratic partys fault ,2024-10-13,DJT,1
Process,snl make fun of harris middle class story,2024-10-13,DJT,4
