Username,Comment,date,sentiment,Ticker
abcbull,his close criminal mind be pump it be careful bullish,2024-10-09,3,DJT
Panic_Buyer,seed money for the future of maga,2024-10-09,5,DJT
Jake_Meehof,my favorite part of the interview,2024-10-09,5,DJT
iWrathz,this november 5th election,2024-10-09,1,DJT
Panic_Buyer,political favor money launder machine,2024-10-09,1,DJT
Speakthetruth,wordsalad kamala be utterly brainless in the history of this great nation there have never see such a dumb candidate they need to bring joe back bullish,2024-10-09,1,DJT
Dulge_Gappana,do not care if trump win or not but weekly chart be look good if climax,2024-10-09,3,DJT
RainbowRhino,only the most stupid buy this shit company with no revenue and valuation it will burn like no other we wait bearish,2024-10-09,1,DJT
markbass2341,trump lick putin cum,2024-10-09,1,DJT
Snowboardkid01,call to the moon fk kamala,2024-10-09,5,DJT
uyenng25_,my average updown technic get well and with xtrade info help guide I to see market direction this be my good 1 day return with outstanding perform by glta,2024-10-09,3,DJT
PeterLynch_IsBack,hahahahaha bullish,2024-10-09,1,DJT
xoz,bullish,2024-10-09,1,DJT
Holdmypocket00,their ignorance be limitless do you dipshit still think biden be control the weather or have you switch conspiracy theory already you guy the nazi be the bad guy geez bearish,2024-10-09,1,DJT
Toptradersam,comment these dummy leave under my video when I say I be buy heavy at where you all at now,2024-10-09,1,DJT
Bastard_Esq,you re all so stupid and easily fool it d be hilarious if it be not so dangerous fema have multiple fund the disaster relief fund have not be use to help immigrant the emergency housing fund which have always be use for immigrant emergency housing include by trump be entirely separate both fund be also determine separately by congress musk and lib of tiktok for example know this too but they re count on you be stupid and ignorant enough to not know it and you let they do it over and over because you want it so badly to be true grow a spine and some dignity for fuck sake man,2024-10-09,1,DJT
uyenng25_,nice gain,2024-10-09,4,DJT
EugenieArriaga,new alert have be post in the last hour bestinvestplacestocktrad bullish,2024-10-09,5,DJT
xoz,floridian be desperate but not that desperate bullish,2024-10-09,3,DJT
Fastruns17,florida embrace yourselfs desantis not take call from biden good luck bearish,2024-10-09,5,DJT
bwlynnwood,yep bullish,2024-10-09,1,DJT
Bull1995,thank,2024-10-09,5,DJT
Yieldmaxdefiantthereal1,rsi say overbought,2024-10-09,1,DJT
Yieldmaxdefiantthereal1,why s he always wear a hat now in public bad hair plug,2024-10-09,1,DJT
Bastard_Esq,which be more than an average poll you re all so desperate its hilarious,2024-10-09,5,DJT
gilmeriken,make it make sense harris 2024,2024-10-09,5,DJT
Steelballn20,bearish,2024-10-09,4,DJT
Mining_For_Gems,short look extra desperate with fud tonight,2024-10-09,2,DJT
dhood3,play stupid game you will win stupid prize bullish,2024-10-09,1,DJT
TwinDragons2024,I purposely mean to put the year wrong to attract all the hater in here hahahatrump2020 bullish,2024-10-09,1,DJT
Dulge_Gappana,manipulation tool,2024-10-09,4,DJT
WeWereYoungOnce,trump lie about 100 of the time,2024-10-09,5,DJT
dommy7,82 of buy order through the dark pool today bullish,2024-10-09,1,DJT
TwinDragons2024,trump will be the next president for all the american people whether you like he or nottrump2016 bullish,2024-10-09,1,DJT
Yieldmaxdefiantthereal1,you really want to go there,2024-10-09,5,DJT
WeWereYoungOnce,bearish,2024-10-09,4,DJT
xoz,bet odd after colbert bullish,2024-10-09,3,DJT
dhood3,letherspeak bullish,2024-10-09,1,DJT
Trader9955,today bullish,2024-10-09,1,DJT
FingerlessRage,congrad to anyone who make money this week bullish,2024-10-09,1,DJT
WeWereYoungOnce,remember when life be so good under trump neither do I bearish,2024-10-09,5,DJT
WeWereYoungOnce,so the so call patriot support a commie good to know bearish,2024-10-09,4,DJT
Yieldmaxdefiantthereal1,that way you could lose on two stock instead of one,2024-10-09,3,DJT
xoz,kamala go on colbert without her teleprompter bullish,2024-10-09,1,DJT
Yieldmaxdefiantthereal1,why do trump hate fact a because he s a lie pos,2024-10-09,1,DJT
FredoDog,this the same company where their director have be sell share for the past week seem silly if a huge squeeze be come,2024-10-09,1,DJT
WeWereYoungOnce,break news to maga only the rest of educate america know he s a liar and a thief bearish,2024-10-09,1,DJT
hongkingkong,I wish kamala would have her own publicly trade stock so I could short the shit out of it,2024-10-09,1,DJT
WeWereYoungOnce,you I to tell I that the grifter who bankrupt 7 company be involve in fraud what who know everyone but maga bearish,2024-10-09,1,DJT
Fastruns17,the big raper be snowflake ya know and murder who kill their own wife bearish,2024-10-09,1,DJT
B1GCityCat,how s that work out bullish,2024-10-09,1,DJT
FredoDog,be this on auto post or something how many time a day,2024-10-09,1,DJT
Fastruns17,just brain wash its unbelievable to even think that,2024-10-09,1,DJT
WeWereYoungOnce,this trash be go down tomorrow bearish,2024-10-09,1,DJT
Fastruns17,these bot forget the year bearish,2024-10-09,1,DJT
WeWereYoungOnce,oh how I enjoy watch maga get fleece it warm my heart bearish,2024-10-09,5,DJT
Fastruns17,bearish,2024-10-09,4,DJT
TwinDragons2024,trump will be the next president for all americanstrump2014 bullish,2024-10-09,1,DJT
dommy7,not only will kamala harris continue to allow america to be flood with illegal immigrant many of which be murderer and rapist but she will also shutdown x imprison elon musk and end free speech in america bullish,2024-10-09,1,DJT
WeWereYoungOnce,place your trust in a grifter and you too will be grifte bearish,2024-10-09,5,DJT
